Vehicle Number,Total Price,Station,Date
87484,66.316,Brothers Gas Bottling & Distrib,2025-01-24 00:00:00
23981,59.236000000000004,Brothers Gas Bottling & Distrib,2025-01-24 00:00:00
98129,56.64,Brothers Gas Bottling & Distrib,2025-01-24 00:00:00
73969,73.16,Brothers Gas Bottling & Distrib,2025-01-24 00:00:00
43714,120.36,Brothers Gas Bottling & Distrib,2025-01-24 00:00:00
15127,94.4,Brothers Gas Bottling & Distrib,2025-01-24 00:00:00
51322,148.68,Brothers Gas Bottling & Distrib,2025-01-24 00:00:00
59886,16.52,Brothers Gas Bottling & Distrib,2025-01-25 00:00:00
98027,42.48,Brothers Gas Bottling & Distrib,2025-01-25 00:00:00
37609,279.66,Brothers Gas Bottling & Distrib,2025-01-25 00:00:00
87484,71.98,Brothers Gas Bottling & Distrib,2025-01-25 00:00:00
98129,181.012,Brothers Gas Bottling & Distrib,2025-01-25 00:00:00
80185,178.65200000000002,Brothers Gas Bottling & Distrib,2025-01-25 00:00:00
97330,56.403999999999996,Brothers Gas Bottling & Distrib,2025-01-25 00:00:00
23981,54.28,Brothers Gas Bottling & Distrib,2025-01-25 00:00:00
44378,154.58,Brothers Gas Bottling & Distrib,2025-01-25 00:00:00
73969,99.12,Brothers Gas Bottling & Distrib,2025-01-25 00:00:00
15127,92.04,Brothers Gas Bottling & Distrib,2025-01-25 00:00:00
51322,113.28,Brothers Gas Bottling & Distrib,2025-01-25 00:00:00
98027,132.16,Brothers Gas Bottling & Distrib,2025-01-26 00:00:00
59886,49.56,Brothers Gas Bottling & Distrib,2025-01-26 00:00:00
72641,30.68,Brothers Gas Bottling & Distrib,2025-01-26 00:00:00
15127,141.6,Brothers Gas Bottling & Distrib,2025-01-26 00:00:00
51322,127.44,Brothers Gas Bottling & Distrib,2025-01-26 00:00:00
98027,84.96,Brothers Gas Bottling & Distrib,2025-01-27 00:00:00
59886,115.64,Brothers Gas Bottling & Distrib,2025-01-27 00:00:00
72641,118,Brothers Gas Bottling & Distrib,2025-01-27 00:00:00
23981,113.28,Brothers Gas Bottling & Distrib,2025-01-26 00:00:00
87484,141.6,Brothers Gas Bottling & Distrib,2025-01-26 00:00:00
97330,197.768,Brothers Gas Bottling & Distrib,2025-01-26 00:00:00
37609,280.84,Brothers Gas Bottling & Distrib,2025-01-26 00:00:00
44378,68.91199999999999,Brothers Gas Bottling & Distrib,2025-01-26 00:00:00
73969,51.92,Brothers Gas Bottling & Distrib,2025-01-26 00:00:00
98129,182.192,Brothers Gas Bottling & Distrib,2025-01-26 00:00:00
15127,101.48,Brothers Gas Bottling & Distrib,2025-01-27 00:00:00
37609,285.08799999999997,Brothers Gas Bottling & Distrib,2025-01-27 00:00:00
87484,80.476,Brothers Gas Bottling & Distrib,2025-01-27 00:00:00
73969,113.044,Brothers Gas Bottling & Distrib,2025-01-27 00:00:00
98129,28.32,Brothers Gas Bottling & Distrib,2025-01-27 00:00:00
23981,104.07600000000001,Brothers Gas Bottling & Distrib,2025-01-27 00:00:00
85752,165.908,Brothers Gas Bottling & Distrib,2025-01-27 00:00:00
44378,70.8,Brothers Gas Bottling & Distrib,2025-01-27 00:00:00
97330,195.644,Brothers Gas Bottling & Distrib,2025-01-27 00:00:00
98027,73.16,Brothers Gas Bottling & Distrib,2025-01-28 00:00:00
15127,141.6,Brothers Gas Bottling & Distrib,2025-01-28 00:00:00
87484,70.8,Brothers Gas Bottling & Distrib,2025-01-28 00:00:00
37609,290.04400000000004,Brothers Gas Bottling & Distrib,2025-01-28 00:00:00
97330,152.22,Brothers Gas Bottling & Distrib,2025-01-28 00:00:00
23981,37.76,Brothers Gas Bottling & Distrib,2025-01-28 00:00:00
44378,123.664,Brothers Gas Bottling & Distrib,2025-01-28 00:00:00
73969,71.744,Brothers Gas Bottling & Distrib,2025-01-28 00:00:00
51322,120.36,Brothers Gas Bottling & Distrib,2025-01-17 00:00:00
51322,101.48,Brothers Gas Bottling & Distrib,2025-01-18 00:00:00
51322,118,Brothers Gas Bottling & Distrib,2025-01-19 00:00:00
51322,94.4,Brothers Gas Bottling & Distrib,2025-01-20 00:00:00
15127,75.52,Brothers Gas Bottling & Distrib,2025-01-29 00:00:00
51322,134.52,Brothers Gas Bottling & Distrib,2025-01-29 00:00:00
87484,68.44,Brothers Gas Bottling & Distrib,2025-01-29 00:00:00
37609,149.15200000000002,Brothers Gas Bottling & Distrib,2025-01-29 00:00:00
98129,127.204,Brothers Gas Bottling & Distrib,2025-01-29 00:00:00
97330,74.57600000000001,Brothers Gas Bottling & Distrib,2025-01-29 00:00:00
23981,49.79600000000001,Brothers Gas Bottling & Distrib,2025-01-29 00:00:00
73969,115.16799999999999,Brothers Gas Bottling & Distrib,2025-01-29 00:00:00
98027,82.6,Brothers Gas Bottling & Distrib,2025-01-30 00:00:00
72641,35.4,Brothers Gas Bottling & Distrib,2025-01-30 00:00:00
15127,92.04,Brothers Gas Bottling & Distrib,2025-01-30 00:00:00
51322,115.64,Brothers Gas Bottling & Distrib,2025-01-30 00:00:00
87484,65.608,Brothers Gas Bottling & Distrib,2025-01-30 00:00:00
51338,111.62799999999999,Brothers Gas Bottling & Distrib,2025-01-30 00:00:00
37609,158.828,Brothers Gas Bottling & Distrib,2025-01-30 00:00:00
97330,189.27200000000002,Brothers Gas Bottling & Distrib,2025-01-30 00:00:00
23981,40.12,Brothers Gas Bottling & Distrib,2025-01-30 00:00:00
44378,104.07600000000001,Brothers Gas Bottling & Distrib,2025-01-30 00:00:00
73969,149.15200000000002,Brothers Gas Bottling & Distrib,2025-01-30 00:00:00
80185,152.22,Brothers Gas Bottling & Distrib,2025-01-30 00:00:00
72641,103.84,Brothers Gas Bottling & Distrib,2025-01-31 00:00:00
59886,122.72,Brothers Gas Bottling & Distrib,2025-01-31 00:00:00
98027,103.84,Brothers Gas Bottling & Distrib,2025-01-31 00:00:00
37609,148.68,Brothers Gas Bottling & Distrib,2025-01-31 00:00:00
97330,188.092,Brothers Gas Bottling & Distrib,2025-01-31 00:00:00
51338,63.248000000000005,Brothers Gas Bottling & Distrib,2025-01-31 00:00:00
87484,58.056000000000004,Brothers Gas Bottling & Distrib,2025-01-31 00:00:00
85752,106.90799999999999,Brothers Gas Bottling & Distrib,2025-01-31 00:00:00
23981,25.96,Brothers Gas Bottling & Distrib,2025-01-31 00:00:00
73969,151.276,Brothers Gas Bottling & Distrib,2025-01-31 00:00:00
98129,94.164,Brothers Gas Bottling & Distrib,2025-01-31 00:00:00
15127,101.48,Brothers Gas Bottling & Distrib,2025-01-31 00:00:00
51322,110.92,Brothers Gas Bottling & Distrib,2025-01-31 00:00:00
,19027.5,Brothers Gas Bottling & Distrib,Totals
